Kontiopuiston lentopallokenttä|60.361504,25.09246
Päiväkoti Ratamo|60.2021,24.939539
Päiväkoti Viola|60.197952,24.966753
Päiväkoti Kallio|60.18116,24.95648
Ryhmäperhepäiväkoti Venho, varakoti |60.162838,24.913282
Päiväkoti Itämeri|60.162327,24.916454
Päiväkoti Runo|60.192326,24.962576
Päiväkoti Maria|60.161526,24.925802
Päiväkoti Kesäheinä|60.20277,24.95126
Päiväkoti Marjala|60.209682,24.96465
Päiväkoti Tammisalo|60.1921,25.065628
Päiväkoti Virkkula|60.174877,24.955643
Päiväkoti Porolahti|60.197227,25.05547
Päiväkoti Pajalahti|60.15882,24.884985
Päiväkoti Puuskakulma|60.164745,25.074867
Leikkipuisto Tuorinniemi|60.186672,25.03862
Päiväkoti Vironniemi|60.171825,24.954998
Leikkipuisto Roihuvuori|60.202915,25.06179
Päiväkoti Päiväpirtti|60.182724,24.912022
Päiväkoti Roihuvuori|60.201393,25.058722
Päiväkoti Yliskylä|60.176903,25.043095
Päiväkoti Ruoholahden lastentalo|60.16086,24.918835
Päiväkoti Ratikka|60.184536,24.920813
Ryhmäperhepäiväkoti Väiski|60.168705,24.925516
Leikkipuisto Santahamina|60.15239,25.049166
Päiväkoti Riikka|60.180653,24.925686
Päiväkoti Kulosaari|60.186954,25.013857
Päiväkoti Santahamina|60.15231,25.048607
Leikkipuisto Herttoniemi|60.197857,25.033728
Päiväkoti Tuorinniemi|60.187084,25.037989
Päiväkoti Suomenlinna|60.146976,24.987812
Leikkipuisto Taivallahti|60.176556,24.91984
Päiväkoti Satama|60.191635,25.036427
Leikkipuisto Hilleri|60.210014,25.043625
Päiväkoti Särki|60.15288,24.876598
Päiväkoti Merituuli|60.189426,25.03044
Päiväkoti Siilitie|60.20786,25.043783
Päiväkoti Troolari|60.162838,24.913282
Leikkipuisto Seppä|60.158676,24.939638
Päiväkoti Tahvonlahti|60.167526,25.03721
Leikkipuisto Sanna|60.198483,24.921968
Päiväkoti Veijari|60.153126,24.888048
Päiväkoti Nalle|60.172653,25.038242
Päiväkoti Puotila|60.212997,25.09121
Päiväkoti Viikinki|60.216473,25.111313
Leikkipuisto Rudolf|60.171413,25.039845
Leikkipuisto Mellunmäki|60.235363,25.122532
Päiväkoti Puotinharju|60.211857,25.078707
Päiväkoti Vikla|60.22957,25.071568
Päiväkoti Hanna, ryhmä Viikuna|60.20889,25.136698
Päiväkoti Mustakivi|60.205494,25.139406
Päiväkoti Kajuutta|60.200798,25.143372
Päiväkoti Jäkälä|60.263283,25.032225
Päiväkoti Sakara|60.242344,25.075783
Päiväkoti Mustikka|60.208008,25.086344
Leikkipuisto Mustapuro|60.21775,25.080885
Leikkipuisto Haruspuisto|60.20213,25.12138
Päiväkoti Siima|60.19863,25.119402
Päiväkoti Myllytonttu|undefined,undefined
Päiväkoti Myllytupa|60.219067,25.048471
Leikkipuisto Rusthollari|60.21263,25.100334
Leikkipuisto Mustakivi|60.20402,25.141006
Päiväkoti Vaapukka|60.205994,25.08084
Päiväkoti Nalli|60.235332,25.060966
Leikkipuisto Myllynsiipi|60.221573,25.06702
Päiväkoti Aulanko|60.230385,25.000069
Päiväkoti Vankkuri|60.206783,25.124157
Päiväkoti Neulanen|60.22293,25.061161
Leikkipuisto Iso-Antti|60.20601,25.084248
Päiväkoti Immola|60.260353,24.985764
Päiväkoti Vartiokylä|60.218895,25.099289
Päiväkoti Pihapirtti|60.238815,25.083067
Leikkipuisto Kipinäpuisto|60.23605,25.062756
Päiväkoti Vellamo|60.20366,25.135143
Leikkipuisto Kiiltotähti|60.181324,25.05791
Päiväkoti Portti|60.239334,25.069927
Leikkipuisto Kurkimäki|60.23191,25.070219
Päiväkoti Marmori|60.23873,25.01554
Ryhmäperhepäiväkoti Sirkka|60.27458,25.04474
Leikkipuisto Salpausselkä|60.23246,25.003534
Ryhmäperhepäiväkoti Kultahippu|60.23147,25.026436
Ryhmäperhepäiväkoti Riihi|60.222763,25.0232
Ryhmäperhepäiväkoti Luhti|60.240005,24.990772
Päiväkoti Kaskisavu|60.27097,25.003431
Ryhmäperhepäiväkoti Kartano|60.240723,24.988228
Päiväkoti Ylä-Malmi|60.25495,25.004946
Päiväkoti Kumina|60.24723,24.999203
Leikkipuisto Tapuli|60.27332,25.027517
Päiväkoti Pieksu|60.24786,24.984253
Ryhmäperhepäiväkoti Karpalo|60.255264,25.012531
Päiväkoti Nurkka|60.27094,25.057022
Leikkipuisto Linnunrata|60.281532,25.005493
Ryhmäperhepäiväkoti Herne|60.228302,25.000141
Päiväkoti Pikkuprinssi|60.275364,25.026056
Leikkipuisto Kotinummi|60.257336,25.01515
Ryhmäperhepäiväkoti Omppu|60.255264,25.012531
Päiväkoti Pentinkulma|60.28008,25.005999
Leikkipuisto Traktori|60.251694,24.996439
Päiväkoti Viskuri|60.24918,25.002308
Päiväkoti Pihlajamäki|60.23638,25.012253
Päiväkoti Longinoja|60.24838,25.018902
Päiväkoti Puimuri|60.25291,25.00993
Ryhmäperhepäiväkoti Simpukka|60.255756,25.073196
Leikkipuisto Filpus|60.248417,25.01771
Leikkipuisto Kesanto|60.270622,25.001408
Päiväkoti Kotilo|60.262848,25.08499
Ryhmäperhepäiväkoti Luumu|60.249493,25.001152
Päiväkoti Louhikko|60.233967,25.005827
Päiväkoti Naava|60.26009,25.076548
Ryhmäperhepäiväkoti Sinisiipi|60.23024,25.026001
Ryhmäperhepäiväkoti Arttu|60.266968,24.989536
Ryhmäperhepäiväkoti Pikku-Heikki|60.271667,25.073322
Leikkipuisto Maasälpä|60.237385,25.013227
Päiväkoti Karvikka|60.24497,25.007725
Päiväkoti Kotinummi|60.25661,25.015385
Päiväkoti Siltamäki|60.274902,24.988415
Leikkipuisto Viiri|60.20352,24.889427
Leikkipuisto Tervapääsky|60.26073,24.991344
Leikkipuisto Tullinpuomi|60.194004,24.908875
Päiväkoti Sinivuori|60.24453,24.985266
Leikkipuisto Strömberg|60.218555,24.8689
Päiväkoti Vilppula|60.251583,25.0195
Päiväkoti Suurmetsä|60.263344,25.081558
Päiväkoti Munkkivuori|60.20638,24.873783
Päiväkoti Ahti|60.203415,25.118464
Päiväkoti Pyynikki|60.23384,24.998499
Ryhmäperhepäiväkoti Ahomansikat|60.215366,25.087193
Päiväkoti Vallesmanni|60.257656,24.941116
Leikkipuisto Munkki|60.199783,24.872438
Päiväkoti Raitti|60.257393,25.008793
Päiväkoti Pensseli|60.200016,24.895208
Päiväkoti Haaga|60.214016,24.893162
